SMARTS,Count,Median,Hpd,ring,oxygenate,aromatic
[c]-[C]#[N],1,-152.38678179610645,"[-191.96088435216328, -116.10265026889425]",False,False,True
[c]-[C](-[c])=[O],1,-145.6606842013203,"[-232.62570872656946, -61.851385057536135]",False,True,True
[H]-[C](-[H])(-[H])-[c],44,-98.72328771786488,"[-124.77182228645543, -74.03444388498853]",False,False,True
[H]-[C](-[C])(-[C])-[c],4,-76.71797061830162,"[-106.209488223753, -43.94878279493726]",False,False,True
[H]-[C](-[H])(-[C])-[c],36,-53.99818546515283,"[-79.20181435401035, -28.628528798619946]",False,False,True
[H]-[C](-[H])(-[C])-[c] | (Ring),10,-29.834715929674882,"[-63.122397467887865, 4.961381053590166]",True,False,True
[H]-[C](=[C])-[c],10,-12.174498292869432,"[-42.100404332759595, 20.734487380007877]",False,False,True
[H]-[C](-[C])(-[O])-[O] | (Ring),1,-4.90869602175295,"[-18.172347834705633, 9.263667272565812]",True,True,False
[C]-[C](-[O])(-[O])-[O],1,-3.7616405737780614,"[-18.649534671350658, 14.171968767758697]",False,True,False
[C]-[C](-[C])(-[O])-[O],1,-3.167044464496113,"[-19.162467205995444, 11.823919604375032]",False,True,False
[C]-[C](-[C])=[O],28,-2.0684807064674398,"[-4.86744083812766, 0.32112370784250865]",False,True,False
[H]-[C]1(-[C])-[C]-[O]-1 | (Ring),1,-1.7595728184024466,"[-88.91527404259305, 90.90149920170191]",True,True,False
[C]-[C](-[O])=[O],57,-1.584345762009486,"[-3.722276566923413, 0.6085033190744857]",False,True,False
[H]-[C](-[C])=[O],18,-1.1410699903189805,"[-4.506853426651402, 2.6531859132040236]",False,True,False
[C]-[C](-[C])=[O] | (Ring),2,-1.105227069075807,"[-11.763113757569444, 8.791934471471897]",True,True,False
[H]-[C](-[C])(-[O])-[O],4,-0.5399652401185907,"[-7.996579017438571, 6.8610113520798395]",False,True,False
[O]-[C](-[O])(-[O])-[O],1,0.4736412275432183,"[-15.222029860340207, 15.809368473827645]",False,True,False
[O]-[C](-[O])=[O],3,2.7875295191008993,"[-5.979380960915324, 9.88227903527697]",False,True,False
[H]-[C](-[H])(-[O])-[O],2,3.1447445404655916,"[-7.299469795148992, 13.348546647626605]",False,True,False
[H]-[C](-[O])(-[O])-[O],1,3.4744748785756157,"[-12.32728288648423, 18.59710002927395]",False,True,False
[H]-[C](-[H])(-[C])-[O],78,3.6787541415291622,"[2.4148347149059246, 5.014493945759634]",False,True,False
[H]-[C](-[H])(-[C])-[O] | (Ring),4,4.046369451938972,"[-0.8355580081113336, 8.812345730867563]",True,True,False
[H]-[C](-[H])(-[H])-[O],49,4.528614304404044,"[1.8131875929631902, 7.303776238837802]",False,True,False
[H]-[C](-[C])(-[C])-[O],37,5.601022434904904,"[2.98798663222856, 8.139288078521126]",False,True,False
[H]-[C](-[H])(-[O])-[O] | (Ring),1,5.87067025394831,"[-11.650563261224601, 21.911397283941255]",True,True,False
[H]-[C](-[H])(-[C])-[C],218,5.983154353265933,"[5.503704263332725, 6.462424673496919]",False,False,False
[H]-[C](-[H])(-[H])-[C],322,7.519840162154743,"[5.577032570451962, 9.670927700319016]",False,False,False
[C]-[C](-[C])(-[C])-[O],15,7.532082945888134,"[1.8550069140903798, 12.065214912535271]",False,True,False
[H]-[C](-[O])=[O],8,7.542873652295482,"[2.42572205698057, 12.221888308900791]",False,True,False
[H]-[C](-[H])(-[C])-[C] | (Ring),45,7.748734528985462,"[6.879657039760825, 8.767050813677823]",True,False,False
[C]-[C](-[C])(-[C])-[c],2,7.858882119547828,"[-44.099581354703936, 57.57006087464219]",False,False,True
[H]-[C](-[C])(-[C])-[C],73,9.213405199009546,"[6.457470458053028, 11.750601033779189]",False,False,False
[H]-[C](-[H])=[C],38,9.746744620527132,"[7.020770360412705, 12.977018255325003]",False,False,False
[H]-[C]1(-[H])-[C]-[O]-1 | (Ring),1,10.724129192970604,"[-82.44721137736796, 93.10194738551019]",True,True,False
[H]-[C](-[C])=[C],49,11.886111699552146,"[10.348031318957013, 13.547427004863993]",False,False,False
[H]-[C]1(-[c])-[C]-[C]-1 | (Ring),1,13.547044847030797,"[-106.26941516169092, 138.05012862869492]",True,False,True
[H]-[C](-[C])(-[C])-[C] | (Ring),17,13.66715603106972,"[10.740476335033781, 16.487091338414977]",True,False,False
[C]-[C](-[C])(-[C])-[C],26,13.716256203827148,"[8.769525044458657, 18.563797927869054]",False,False,False
[C]-[C](-[C])=[C],25,15.30294384891816,"[11.541016687560477, 18.823765667848953]",False,False,False
[H]-[C]#[C],10,16.11582301922384,"[6.712447670881865, 24.969373694656547]",False,False,False
[H]-[c](:[c]):[c] | (Ring),130,18.30381799290408,"[14.96538125594029, 21.254740085309276]",True,False,True
[C]-[C](-[C])(-[C])-[C] | (Ring),1,18.590520001955984,"[6.905061668544878, 30.21108822907907]",True,False,False
[c]:[c](:[c])-[F] | (Ring),1,18.971776696657372,"[-13.911811923926717, 53.031930331501385]",True,False,True
[H]-[C](-[C])=[C] | (Ring),17,19.1104724225786,"[16.480277144936828, 21.78301679282087]",True,False,False
[C]-[C](=[C])-[c],2,19.41832723266252,"[-32.77208392924078, 77.80210634764812]",False,False,True
[H]-[C](-[C])(-[C])-[O] | (Ring),2,19.44730423858642,"[11.140113371916303, 27.25386307720233]",True,True,False
[C]-[C]#[C],7,20.54116476335924,"[14.804456300757575, 25.62178914032175]",False,False,False
[c]:[c](:[c])-[O] | (Ring),3,21.269070531232828,"[-0.8551549772541449, 43.64689723910591]",True,True,True
[C]#[C]-[c],9,25.621623049789896,"[-10.862814899935458, 59.75008566781298]",False,False,True
[H]-[C]1(-[H])-[C]-[C]-1 | (Ring),1,26.802933401068174,"[-43.133581902405425, 85.82334580549832]",True,False,False
[H]-[C](=[C])-[c] | (Ring),4,32.95735313440625,"[-20.845061847442288, 88.12047848420468]",True,False,True
[H]-[C](-[c])(-[c])-[c],1,33.62516366182475,"[-90.54153096910541, 154.30607044606643]",False,False,True
[H]-[C](-[H])(-[c])-[c] | (Ring),5,35.70620652191974,"[-29.896616177647772, 115.23176652874368]",True,False,True
[H]-[C](-[H])(-[c])-[c],2,37.176902736742555,"[-49.775977336856016, 126.7595066636485]",False,False,True
[c]:[c](:[c])-[Cl] | (Ring),1,38.646018587867125,"[4.879005650960053, 77.66469713847641]",True,False,True
[C]-[C](-[C])=[C] | (Ring),6,40.50929306369865,"[31.855864765731138, 49.13387531260622]",True,False,False
[c]:[c](:[c])-[Br] | (Ring),1,46.421207426663855,"[13.395677712535417, 81.71783230083162]",True,False,True
[H]-[C](-[C])(-[C])-[c] | (Ring),2,58.324402598188435,"[-2.1074345994883714, 117.44122235912639]",True,False,True
[C]-[C](-[C])(-[c])-[c],1,70.48284132473114,"[-23.87953188839485, 165.26456751348252]",False,False,True
[C]=[C](-[c])-[c],1,75.61984362497822,"[-15.089019895300865, 187.80611522551885]",False,False,True
[H]-[C](-[C])(-[c])-[c],1,93.00711818064983,"[6.241912415338547, 209.85594943362133]",False,False,True
[C]-[c](:[c]):[o] | (Ring),1,110.04429278977915,"[80.01110680073734, 138.21725211016934]",True,False,True
[C]-[C](=[C])-[c] | (Ring),2,117.37449329575796,"[54.621133945170016, 187.30470798048333]",True,False,True
[C]-[c](:[c]):[c] | (Ring),113,187.95524908195682,"[164.3654491016809, 216.46280301705588]",True,False,True
[c]:[c](:[c]):[c] | (Ring),19,192.13739024193046,"[176.7037722830996, 207.36960388867894]",True,False,True
[c]-[c](:[c]):[c] | (Ring),20,238.662511018175,"[217.18355634171945, 260.1338507124206]",True,False,True
